filename,count,count1
/home/rnam/Documents/ped/data/team500/2016-07-17-13-39-40_Flatbush_Ave__Willoughby.jpg,234,5
/home/rnam/Documents/ped/data/team500/2016-07-17-13-39-52_Flatbush_Ave__Willoughby.jpg,235,5
/home/rnam/Documents/ped/data/team500/2016-07-17-13-36-56_Flatbush_Ave__Willoughby.jpg,236,4
/home/rnam/Documents/ped/data/team500/2016-07-17-13-38-08_Flatbush_Ave__Willoughby.jpg,237,4
/home/rnam/Documents/ped/data/team500/2016-07-17-13-44-07_Flatbush_Ave__Willoughby.jpg,238,4
/home/rnam/Documents/ped/data/team500/2016-07-17-13-37-11_Flatbush_Ave__Willoughby.jpg,239,4
/home/rnam/Documents/ped/data/team500/2016-07-17-13-38-17_Flatbush_Ave__Willoughby.jpg,240,4
/home/rnam/Documents/ped/data/team500/2016-07-17-13-37-15_Flatbush_Ave__Willoughby.jpg,241,3
/home/rnam/Documents/ped/data/team500/2016-07-17-13-40-28_Flatbush_Ave__Willoughby.jpg,242,4
/home/rnam/Documents/ped/data/team500/2016-07-17-13-41-49_Flatbush_Ave__Willoughby.jpg,243,3
/home/rnam/Documents/ped/data/team500/2016-07-17-13-45-51_Flatbush_Ave__Willoughby.jpg,244,4
/home/rnam/Documents/ped/data/team500/2016-07-17-13-38-02_Flatbush_Ave__Willoughby.jpg,245,3
/home/rnam/Documents/ped/data/team500/2016-07-17-13-40-26_Flatbush_Ave__Willoughby.jpg,246,3
/home/rnam/Documents/ped/data/team500/2016-07-17-13-41-20_Flatbush_Ave__Willoughby.jpg,247,4
/home/rnam/Documents/ped/data/team500/2016-07-17-13-39-17_Flatbush_Ave__Willoughby.jpg,248,4
